datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url,commissie
2015-04-09,32670,,97,https://zoek.officielebekendmakingen.nl/kst-32670-97,"vaste commissie voor Economische Zaken"
2015-04-13,22112,,1954,https://zoek.officielebekendmakingen.nl/kst-22112-1954,"vaste commissie voor Europese Zaken"
2015-04-13,28140,,86,https://zoek.officielebekendmakingen.nl/kst-28140-86,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-04-13,32637,,176,https://zoek.officielebekendmakingen.nl/kst-32637-176,"vaste commissie voor Economische Zaken"
2015-04-13,25657,,158,https://zoek.officielebekendmakingen.nl/kst-25657-158,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-04-23,31568,,164,https://zoek.officielebekendmakingen.nl/kst-31568-164,"vaste commissie voor Koninkrijksrelaties"
2015-04-28,21501,02,1487,https://zoek.officielebekendmakingen.nl/kst-21501-02-1487,"vaste commissie voor Buitenlandse Zaken"
2015-04-28,32847,,167,https://zoek.officielebekendmakingen.nl/kst-32847-167,"algemene commissie voor Wonen en Rijksdienst"
2015-04-28,24095,,381,https://zoek.officielebekendmakingen.nl/kst-24095-381,"vaste commissie voor Economische Zaken"
2015-04-28,21501,02,1486,https://zoek.officielebekendmakingen.nl/kst-21501-02-1486,"vaste commissie voor Europese Zaken"
2015-04-29,31765,,139,https://zoek.officielebekendmakingen.nl/kst-31765-139,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-04-29,31839,,471,https://zoek.officielebekendmakingen.nl/kst-31839-471,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-04-29,29689,,608,https://zoek.officielebekendmakingen.nl/kst-29689-608,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-04-30,30420,,223,https://zoek.officielebekendmakingen.nl/kst-30420-223,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-04-30,21501,32,836,https://zoek.officielebekendmakingen.nl/kst-21501-32-836,"vaste commissie voor Economische Zaken"
2015-05-01,25657,,169,https://zoek.officielebekendmakingen.nl/kst-25657-169,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-05-01,34000,X,85,https://zoek.officielebekendmakingen.nl/kst-34000-X-85,"vaste commissie voor Defensie"
2015-05-01,31490,,171,https://zoek.officielebekendmakingen.nl/kst-31490-171,"algemene commissie voor Wonen en Rijksdienst"
2015-05-01,29477,,326,https://zoek.officielebekendmakingen.nl/kst-29477-326,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-05-01,29984,,600,https://zoek.officielebekendmakingen.nl/kst-29984-600,"vaste commissie voor Infrastructuur en Milieu"
