datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url
2013-06-13,29023,,148,https://zoek.officielebekendmakingen.nl/kst-29023-148,vaste commissie voor Economische Zaken
2013-06-13,29237,,150,https://zoek.officielebekendmakingen.nl/kst-29237-150,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2013-06-13,29453,,317,https://zoek.officielebekendmakingen.nl/kst-29453-317,algemene commissie voor Wonen en Rijksdienst
2013-06-13,21501,34,208,https://zoek.officielebekendmakingen.nl/kst-21501-34-208,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2013-06-16,21501,02,1275,https://zoek.officielebekendmakingen.nl/kst-21501-02-1275,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2013-06-17,33400,XII,75,https://zoek.officielebekendmakingen.nl/kst-33400-XII-75,algemene commissie voor Wonen en Rijksdienst
2013-06-20,21501,02,1269,https://zoek.officielebekendmakingen.nl/kst-21501-02-1269,vaste commissie voor Europese Zaken
2013-06-20,33400,X,86,https://zoek.officielebekendmakingen.nl/kst-33400-X-86,vaste commissie voor Defensie
2013-06-26,32336,,14,https://zoek.officielebekendmakingen.nl/kst-32336-14,vaste commissie voor Economische Zaken
2013-06-26,31293,,180,https://zoek.officielebekendmakingen.nl/kst-31293-180,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2013-06-26,27858,,161,https://zoek.officielebekendmakingen.nl/kst-27858-161,vaste commissie voor Economische Zaken
2013-06-26,21501,04,155,https://zoek.officielebekendmakingen.nl/kst-21501-04-155,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2013-06-26,32735,,79,https://zoek.officielebekendmakingen.nl/kst-32735-79,vaste commissie voor Buitenlandse Zaken
2013-06-26,33614,,3,https://zoek.officielebekendmakingen.nl/kst-33614-3,TK
2013-06-26,25424,,217,https://zoek.officielebekendmakingen.nl/kst-25424-217,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-07-01,31083,,47,https://zoek.officielebekendmakingen.nl/kst-31083-47,vaste commissie voor Economische Zaken
2013-07-01,31574,,35,https://zoek.officielebekendmakingen.nl/kst-31574-35,vaste commissie voor Economische Zaken
