datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk ondernummer,url
2010-04-27,28385,,181,https://zoek.officielebekendmakingen.nl/kst-28385-181
2010-04-27,32123,VI,97,https://zoek.officielebekendmakingen.nl/kst-32123-VI-97
2010-05-03,29521,,139,https://zoek.officielebekendmakingen.nl/kst-29521-139
2010-05-03,32159,,5,https://zoek.officielebekendmakingen.nl/kst-32159-5
2010-05-03,30977,,33,https://zoek.officielebekendmakingen.nl/kst-30977-33
2010-05-03,31580,,5,https://zoek.officielebekendmakingen.nl/kst-31580-5
2010-05-03,27562,,53,https://zoek.officielebekendmakingen.nl/kst-27562-53
2010-05-03,31412,,22,https://zoek.officielebekendmakingen.nl/kst-31412-22
2010-05-04,32123,VI,99,https://zoek.officielebekendmakingen.nl/kst-32123-VI-99
2010-05-04,32123,XI,68,https://zoek.officielebekendmakingen.nl/kst-32123-XI-68
2010-05-04,31066,,87,https://zoek.officielebekendmakingen.nl/kst-31066-87
2010-05-04,29435,,261,https://zoek.officielebekendmakingen.nl/kst-29435-261
2010-05-04,29544,,247,https://zoek.officielebekendmakingen.nl/kst-29544-247
2010-05-04,27879,,27,https://zoek.officielebekendmakingen.nl/kst-27879-27
2010-05-04,28286,,406,https://zoek.officielebekendmakingen.nl/kst-28286-406
2010-05-10,30536,,119,https://zoek.officielebekendmakingen.nl/kst-30536-119
2010-05-10,28294,,40,https://zoek.officielebekendmakingen.nl/kst-28294-40
2010-05-10,32123,XII,50,https://zoek.officielebekendmakingen.nl/kst-32123-XII-50
2010-05-10,29248,,119,https://zoek.officielebekendmakingen.nl/kst-29248-119
2010-05-10,32123,VI,100,https://zoek.officielebekendmakingen.nl/kst-32123-VI-100
2010-05-10,31765,,11,https://zoek.officielebekendmakingen.nl/kst-31765-11
2010-05-10,24036,,375,https://zoek.officielebekendmakingen.nl/kst-24036-375
2010-05-10,31953,,35,https://zoek.officielebekendmakingen.nl/kst-31953-35
2010-05-17,32123,X,125,https://zoek.officielebekendmakingen.nl/kst-32123-X-125
2010-05-17,31142,,22,https://zoek.officielebekendmakingen.nl/kst-31142-22
2010-05-17,30015,,40,https://zoek.officielebekendmakingen.nl/kst-30015-40
2010-05-18,28625,,98,https://zoek.officielebekendmakingen.nl/kst-28625-98
2010-05-18,31765,,17,https://zoek.officielebekendmakingen.nl/kst-31765-17
2010-05-18,31288,,101,https://zoek.officielebekendmakingen.nl/kst-31288-101
2010-05-19,31322,,84,https://zoek.officielebekendmakingen.nl/kst-31322-84
2010-05-19,32317,,11,https://zoek.officielebekendmakingen.nl/kst-32317-11
2010-05-20,31968,,19,https://zoek.officielebekendmakingen.nl/kst-31968-19
2010-05-20,30490,,18,https://zoek.officielebekendmakingen.nl/kst-30490-18
2010-05-20,21501,02,968,https://zoek.officielebekendmakingen.nl/kst-21501-02-968
2010-05-20,32123,XIV,203,https://zoek.officielebekendmakingen.nl/kst-32123-XIV-203
2010-05-20,32123,XI,71,https://zoek.officielebekendmakingen.nl/kst-32123-XI-71
2010-05-25,21501,32,398,https://zoek.officielebekendmakingen.nl/kst-21501-32-398
2010-05-25,32013,,13,https://zoek.officielebekendmakingen.nl/kst-32013-13
2010-05-26,23645,,373,https://zoek.officielebekendmakingen.nl/kst-23645-373
2010-05-26,29240,,42,https://zoek.officielebekendmakingen.nl/kst-29240-42
2010-05-26,31311,,56,https://zoek.officielebekendmakingen.nl/kst-31311-56
2010-05-26,31801,,14,https://zoek.officielebekendmakingen.nl/kst-31801-14
2010-05-27,27925,,395,https://zoek.officielebekendmakingen.nl/kst-27925-395
2010-05-27,32123,X,129,https://zoek.officielebekendmakingen.nl/kst-32123-X-129
2010-06-01,29507,,92,https://zoek.officielebekendmakingen.nl/kst-29507-92
2010-06-01,21501,07,734,https://zoek.officielebekendmakingen.nl/kst-21501-07-734
2010-06-01,28676,,110,https://zoek.officielebekendmakingen.nl/kst-28676-110
2010-06-01,31524,,67,https://zoek.officielebekendmakingen.nl/kst-31524-67
2010-06-03,32371,,5,https://zoek.officielebekendmakingen.nl/kst-32371-5
2010-06-03,21501,31,212,https://zoek.officielebekendmakingen.nl/kst-21501-31-212
2010-06-03,21501,07,737,https://zoek.officielebekendmakingen.nl/kst-21501-07-737
2010-06-07,21501,02,969,https://zoek.officielebekendmakingen.nl/kst-21501-02-969
2010-06-07,25124,,65,https://zoek.officielebekendmakingen.nl/kst-25124-65
2010-06-07,31839,,61,https://zoek.officielebekendmakingen.nl/kst-31839-61
2010-06-07,31239,,98,https://zoek.officielebekendmakingen.nl/kst-31239-98
2010-06-07,25928,,44,https://zoek.officielebekendmakingen.nl/kst-25928-44
2010-06-07,32123,VIII,129,https://zoek.officielebekendmakingen.nl/kst-32123-VIII-129
2010-06-08,29984,,227,https://zoek.officielebekendmakingen.nl/kst-29984-227
2010-06-08,29248,,124,https://zoek.officielebekendmakingen.nl/kst-29248-124
2010-06-08,25883,,171,https://zoek.officielebekendmakingen.nl/kst-25883-171
2010-06-08,29521,,143,https://zoek.officielebekendmakingen.nl/kst-29521-143
2010-06-08,31293,,76,https://zoek.officielebekendmakingen.nl/kst-31293-76
2010-06-08,32123,A,110,https://zoek.officielebekendmakingen.nl/kst-32123-A-110
2010-06-10,32123,XVIII,76,https://zoek.officielebekendmakingen.nl/kst-32123-XVIII-76
2010-06-10,32123,XIV,207,https://zoek.officielebekendmakingen.nl/kst-32123-XIV-207
2010-06-10,30080,,45,https://zoek.officielebekendmakingen.nl/kst-30080-45
2010-06-10,31568,,72,https://zoek.officielebekendmakingen.nl/kst-31568-72
2010-06-10,26643,,159,https://zoek.officielebekendmakingen.nl/kst-26643-159
2010-06-10,31371,,341,https://zoek.officielebekendmakingen.nl/kst-31371-341
2010-06-10,29614,,25,https://zoek.officielebekendmakingen.nl/kst-29614-25
2010-06-11,32123,XV,62,https://zoek.officielebekendmakingen.nl/kst-32123-XV-62
2010-06-11,27659,,116,https://zoek.officielebekendmakingen.nl/kst-27659-116
2010-06-11,22026,,319,https://zoek.officielebekendmakingen.nl/kst-22026-319
2010-06-11,32123,XIV,208,https://zoek.officielebekendmakingen.nl/kst-32123-XIV-208
2010-06-11,29453,,162,https://zoek.officielebekendmakingen.nl/kst-29453-162
2010-06-14,26488,,241,https://zoek.officielebekendmakingen.nl/kst-26488-241
